"","Registry","Sex","Cancer","Year","Incidence","Mortality"
"1","AT Austria","Male","Colon","1990",61.09,40.06
"2","AT Austria","Male","Pancreas","1990",23.39,22.82
"3","AT Austria","Male","Lung","1990",111.56,106.89
"4","AT Austria","Male","Melanoma of the skin","1990",13.14,4.77
"5","AT Austria","Male","Prostate","1990",115.38,62.11
"6","AT Austria","Male","Bladder","1990",46.86,17.81
"7","AT Austria","Female","Colon","1990",41.87,26.44
"8","AT Austria","Female","Pancreas","1990",15.99,16.04
"9","AT Austria","Female","Lung","1990",23.48,20.01
"10","AT Austria","Female","Melanoma of the skin","1990",10.78,3.18
"11","AT Austria","Female","Breast female","1990",104.35,47.49
"12","AT Austria","Female","Bladder","1990",12.77,4.93
"13","DK Denmark","Male","Colon","1990",52.53,39.47
"14","DK Denmark","Male","Pancreas","1990",17.97,20.34
"15","DK Denmark","Male","Lung","1990",111.55,122.87
"16","DK Denmark","Male","Melanoma of the skin","1990",15.78,6.19
"17","DK Denmark","Male","Prostate","1990",92.14,62.43
"18","DK Denmark","Male","Bladder","1990",64.07,27.71
"19","DK Denmark","Female","Colon","1990",46.99,30.33
"20","DK Denmark","Female","Pancreas","1990",15.56,16.8
"21","DK Denmark","Female","Lung","1990",49.18,48.46
"22","DK Denmark","Female","Melanoma of the skin","1990",18.86,4.46
"23","DK Denmark","Female","Breast female","1990",119.23,55.03
"24","DK Denmark","Female","Bladder","1990",16.66,5.65
"25","NL Netherlands","Male","Colon","1990",53.11,35.01
"26","NL Netherlands","Male","Pancreas","1990",16.15,19.64
"27","NL Netherlands","Male","Lung","1990",168.98,171.07
"28","NL Netherlands","Male","Melanoma of the skin","1990",9.51,3.19
"29","NL Netherlands","Male","Prostate","1990",115.3,67.12
"30","NL Netherlands","Male","Bladder","1990",66.57,24
"31","NL Netherlands","Female","Colon","1990",43.42,29.02
"32","NL Netherlands","Female","Pancreas","1990",11.73,15.07
"33","NL Netherlands","Female","Lung","1990",22.73,20.66
"34","NL Netherlands","Female","Melanoma of the skin","1990",13.61,2.85
"35","NL Netherlands","Female","Breast female","1990",136.75,54.88
"36","NL Netherlands","Female","Bladder","1990",11.9,5.23
"37","AT Austria","Male","Colon","1991",57.8,40.86
"38","AT Austria","Male","Pancreas","1991",20.93,21.51
"39","AT Austria","Male","Lung","1991",111.05,106.51
"40","AT Austria","Male","Melanoma of the skin","1991",13.85,6.06
"41","AT Austria","Male","Prostate","1991",112.89,67.24
"42","AT Austria","Male","Bladder","1991",48.49,18.41
"43","AT Austria","Female","Colon","1991",40.64,26.51
"44","AT Austria","Female","Pancreas","1991",16.12,15.86
"45","AT Austria","Female","Lung","1991",23.28,21.94
"46","AT Austria","Female","Melanoma of the skin","1991",11.72,3.04
"47","AT Austria","Female","Breast female","1991",107.64,45.56
"48","AT Austria","Female","Bladder","1991",11.58,4.71
"49","DK Denmark","Male","Colon","1991",49.42,38.38
"50","DK Denmark","Male","Pancreas","1991",17.61,20.78
"51","DK Denmark","Male","Lung","1991",111.48,112.9
"52","DK Denmark","Male","Melanoma of the skin","1991",15.7,5.54
"53","DK Denmark","Male","Prostate","1991",93.73,61.55
"54","DK Denmark","Male","Bladder","1991",69.59,25.35
"55","DK Denmark","Female","Colon","1991",45.8,31.41
"56","DK Denmark","Female","Pancreas","1991",15.27,16.53
"57","DK Denmark","Female","Lung","1991",51.19,51.66
"58","DK Denmark","Female","Melanoma of the skin","1991",17.05,3.98
"59","DK Denmark","Female","Breast female","1991",128.51,56.23
"60","DK Denmark","Female","Bladder","1991",17.14,6.75
"61","NL Netherlands","Male","Colon","1991",52.97,36.96
"62","NL Netherlands","Male","Pancreas","1991",17.22,20.6
"63","NL Netherlands","Male","Lung","1991",169.82,172.5
