Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
DOK6,0.51,1.86E-08,0.0003053,7.730487056,Similar
TBX5,-2.129,5.66E-08,0.0004191,7.247183569,Decreased
SLC32A1,0.9003,7.66E-08,0.0004191,7.11577123,Similar
IFITM1,-1.687,3.74E-06,0.006809,5.427128398,Decreased
NUP93,0.3659,3.37E-06,0.006809,5.472370099,Similar
EMILIN2,1.534,2.98E-06,0.006809,5.525783736,Increased
TPX2,-0.9974,2.10E-06,0.006809,5.677780705,Similar
LAMA2,-1.425,2.39E-06,0.006809,5.621602099,Decreased
CAV2,-1.052,3.21E-06,0.006809,5.493494968,Decreased
TNN,-1.658,8.97E-06,0.01472,5.047207557,Decreased
POU3F4,1.181,1.06E-05,0.01584,4.974694135,Increased
COL13A1,-1.647,1.39E-05,0.01592,4.8569852,Decreased
IFITM3,-1.61,1.20E-05,0.01592,4.920818754,Decreased
SHISA3,-1.477,1.31E-05,0.01592,4.882728704,Decreased
LOC285954,1.05,1.46E-05,0.01592,4.835647144,Increased
VEPH1,1.137,2.21E-05,0.02267,4.655607726,Increased
ARHGAP29,-1.526,3.68E-05,0.03547,4.434152181,Decreased
KIAA1755,-1.562,3.97E-05,0.0362,4.401209493,Decreased
LAMC3,-1.563,4.29E-05,0.03704,4.367542708,Decreased
ITM2A,-1.398,4.97E-05,0.04078,4.303643611,Decreased
DTHD1,1.54,5.59E-05,0.04371,4.252588192,Increased
RBMS1,-0.9139,6.69E-05,0.04988,4.174573882,Similar
CEBPD,-1.202,7.86E-05,0.05606,4.104577454,Decreased
DMBX1,-1.425,9.53E-05,0.06486,4.020907099,Decreased
PAPLN,-1.253,9.88E-05,0.06486,4.005243055,Decreased
ADM,-1.357,0.0001089,0.06872,3.96297212,Decreased
COL2A1,-1.187,0.0001424,0.07794,3.846490011,Decreased
HS3ST3A1,-1.004,0.0001388,0.07794,3.857610534,Decreased
DYSF,-1.03,0.0001425,0.07794,3.846185136,Decreased
PI16,1.495,0.0001297,0.07794,3.887060024,Increased
CDC42EP5,-1.355,0.0001581,0.08146,3.80106813,Decreased
SLC12A8,-0.9425,0.0001589,0.08146,3.798876103,Similar
ZNF391,-1.024,0.0001913,0.09512,3.71828503,Decreased
GALNTL2,1.075,0.0002298,0.1109,3.638649976,Increased
C4orf45,1.288,0.0002472,0.1159,3.606951534,Increased
